mana_cost1,name1,type_line0,mana_cost0,type_line1,oracle_text0,name0,oracle_text1
,,Artifact — Vehicle,{3},,"Vigilance
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",Brute Suit,
,Dire-Strain Demolisher,Creature — Human Werewolf,{3}{G}{G},Creature — Werewolf,"Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Burly Breaker,"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
,,Sorcery,{3}{R}{R},,"Choose one —
• Burn Down the House deals 5 damage to each creature and each planeswalker.
• Create three 1/1 red Devil creature tokens with ""When this creature dies, it deals 1 damage to any target."" They gain haste until end of turn.",Burn Down the House,
,,Instant,{1}{R},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Up to two target creatures each get +2/+0 and gain haste until end of turn.",Burning Sun's Fury,
,,Instant,{4}{R},,"Burn the Accursed deals 5 damage to target creature and 2 damage to that creature's controller. If that creature would die this turn, exile it instead.",Burn the Accursed,
,,Creature — Beast,{2}{G},,"When Burrowing Razormaw dies, mill four cards. (Put the top four cards of your library into your graveyard.)",Burrowing Razormaw,
,,Sorcery,{G},,"Choose one —
• Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
• Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)",Bushwhack,
,,Sorcery,{4}{W},,"Exile target nonland permanent. Its controller creates a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Buy Your Silence,
,,Sorcery,{3}{W}{W},,Choose a number between 0 and 13. Each player sacrifices that many creatures.,By Invitation Only,
,,Enchantment,{R}{G}{W},,"At the beginning of your upkeep, look at the top card of your library. If it's a creature or planeswalker card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it on the bottom of your library.",Cabaretti Ascendancy,
,,Instant,{R}{G}{W},,"Choose one —
• Cabaretti Charm deals damage equal to the number of creatures you control to target creature or planeswalker.
• Creatures you control get +1/+1 and gain trample until end of turn.
• Create two 1/1 green and white Citizen creature tokens.",Cabaretti Charm,
,,Land,,,"When Cabaretti Courtyard enters the battlefield, sacrifice it. When you do, search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle and you gain 1 life.",Cabaretti Courtyard,
,,Creature — Raccoon Citizen,{G},,{2}{R/W}: Cabaretti Initiate gains double strike until end of turn.,Cabaretti Initiate,
,,Creature — Phyrexian Goblin Warrior,{R},,"Whenever Cacophony Scamp deals combat damage to a player, you may sacrifice it. If you do, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
When Cacophony Scamp dies, it deals damage equal to its power to any target.",Cacophony Scamp,
,,Instant,{1}{W},,Exile all graveyards. Players can't cast noncreature spells this turn. Exile Calamity's Wake.,Calamity's Wake,
,,Creature — Human Warrior,{4}{G},,"When Caldaia Strongarm enters the battlefield, put two +1/+1 counters on target creature.
Blitz {3}{G} (If you cast this spell for its blitz cost, it gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step.)",Caldaia Strongarm,
,,Legendary Enchantment Creature — Human Druid,{1}{G}{W},,"Constellation — Whenever Calix, Guided by Fate or another enchantment enters the battlefield under your control, put a +1/+1 counter on target creature.
Whenever Calix or an enchanted creature you control deals combat damage to a player, you may create a token that's a copy of a nonlegendary enchantment you control. Do this only once each turn.","Calix, Guided by Fate",
,,Instant,{2}{R},,Players can't gain life this turn. Damage can't be prevented this turn. Call In a Professional deals 3 damage to any target. (Shield counters don't prevent this damage as they're removed.),Call In a Professional,
,,Sorcery,{3}{R}{W},,"Return up to one target artifact or enchantment card from your graveyard to the battlefield. Exile the top two cards of your library. Until the end of your next turn, you may play those cards.",Campus Renovation,
,,Creature — Human Warlock,{1}{W},,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, Candlegrove Witch gains flying until end of turn.",Candlegrove Witch,
,,Creature — Human Knight,{4}{G},,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, Candlelit Cavalry gains trample until end of turn.",Candlelit Cavalry,
,,Enchantment — Aura,{W},,"Enchant creature
Enchanted creature has defender.
Prevent all combat damage that would be dealt by enchanted creature.
Coven — {2}{W}, Sacrifice Candletrap: Exile enchanted creature. Activate only if you control three or more creatures with different powers.",Candletrap,
,,Creature — Phyrexian Fungus,{1}{G},,"{1}, Sacrifice Cankerbloom: Choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Cankerbloom,
,,Sorcery,{W}{B},,"Return target creature card with mana value 3 or less from your graveyard to the battlefield. It gains ""If this creature would die, exile it instead.""
Flashback {3}{W}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Can't Stay Away,
,,Artifact — Vehicle,{3}{G},,"Sacrifice a Treasure: Capenna Express becomes an artifact creature until end of turn.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)",Capenna Express,
,,Creature — Phyrexian Dragon,{3}{R}{R}{R},,"This spell costs {3} less to cast if you have nine or more cards in your graveyard.
Flying
When Capricious Hellraiser enters the battlefield, exile three cards at random from your graveyard. Choose a noncreature, nonland card from among them and copy it. You may cast the copy without paying its mana cost.",Capricious Hellraiser,
,,Sorcery,{3}{W},,Create three 1/1 white Soldier creature tokens.,Captain's Call,
,Compleated Conjurer,Creature — Weird,{U},Creature — Phyrexian Weird,"Defender
{3}{R/P}: Transform Captive Weird. Activate only as a sorcery. ({R/P} can be paid with either {R} or 2 life.)",Captive Weird,"When this creature transforms into Compleated Conjurer, exile the top card of your library. Until the end of your next turn, you may play that card."
,,Enchantment — Aura,{2}{G},,"Enchant artifact or creature
As long as enchanted permanent is a creature, it gets +1/+3 and has reach and ""{T}: Add {G}{G}.""
Channel — {1}{G}, Discard Careful Cultivation: Create a 1/1 green Human Monk creature token with ""{T}: Add {G}.""",Careful Cultivation,
,,Sorcery,{2}{G},,"Destroy target artifact, enchantment, or creature with flying. If that permanent's mana value was 3 or less, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Carnivorous Canopy,
,,Creature — Insect Horror,{2}{B},,"Flying
When Carrion Locust enters the battlefield, exile target card from an opponent's graveyard. If it was a creature card, that player loses 1 life.",Carrion Locust,
,,Sorcery,{3}{G},,Look at the top seven cards of your library. Put up to two land cards from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.,Cartographer's Survey,
,,Instant,{3}{U},,"Draw two cards, then look at the top card of each player's library.",Case the Joint,
,Catapult Captain,Creature — Zombie,{2}{B},Creature — Zombie,"At the beginning of combat on your turn, if you control three or more creatures that each have toughness greater than their power, transform Catapult Fodder.",Catapult Fodder,"{2}{B}, {T}, Sacrifice another creature: Target opponent loses life equal to the sacrificed creature's toughness."
,,Creature — Human Soldier,{1}{W},,"Flash
{1}, Sacrifice Cathar Commando: Destroy target artifact or enchantment.",Cathar Commando,
,,Enchantment — Aura,{2}{W},,"Enchant creature
Enchanted creature has vigilance and ""At the beginning of your end step, create a 1/1 white Human creature token.""",Cathar's Call,
,,Instant,{1}{R},,"Choose one —
• Cathartic Pyre deals 3 damage to target creature or planeswalker.
• Discard up to two cards, then draw that many cards.",Cathartic Pyre,
,,Land,,,"{T}: Add {C}.
{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.",Caves of Koilos,
,,Creature — Elf Druid,{3}{W},,"Alliance — Whenever another creature enters the battlefield under your control, put a +1/+1 counter on Celebrity Fencer.",Celebrity Fencer,
,,Creature — Angel Advisor,{1}{W}{U},,"Flying
When Celestial Regulator enters the battlefield, choose target creature you don't control and tap it. If you control a creature with a counter on it, the chosen creature doesn't untap during its controller's next untap step.",Celestial Regulator,
,,Creature — Human Cleric,{2}{W},,"If it's neither day nor night, it becomes day as Celestus Sanctifier enters the battlefield.
Whenever day becomes night or night becomes day, look at the top two cards of your library. Put one of them into your graveyard.",Celestus Sanctifier,
,,Artifact — Equipment,{1},,"Equipped creature gets +3/+3 and has ""At the beginning of your end step, tap this creature.""
Equipped creature doesn't untap during its controller's untap step.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",Cement Shoes,
,,Creature — Zombie,{4}{B}{B},,"Menace
When Cemetery Desecrator enters the battlefield or dies, exile another card from a graveyard. When you do, choose one —
• Remove X counters from target permanent, where X is the mana value of the exiled card.
• Target creature an opponent controls gets -X/-X until end of turn, where X is the mana value of the exiled card.",Cemetery Desecrator,
,,Creature — Vampire,{1}{R},,"First strike
When Cemetery Gatekeeper enters the battlefield, exile a card from a graveyard.
Whenever a player plays a land or casts a spell, if it shares a card type with the exiled card, Cemetery Gatekeeper deals 2 damage to that player.",Cemetery Gatekeeper,
,,Creature — Spirit,{1}{U}{U},,"Flying
Whenever Cemetery Illuminator enters the battlefield or attacks, exile a card from a graveyard.
You may look at the top card of your library any time.
Once each turn, you may cast a spell from the top of your library if it shares a card type with a card exiled with Cemetery Illuminator.",Cemetery Illuminator,
,,Creature — Human Soldier,{2}{W}{W},,"Flash
When Cemetery Protector enters the battlefield, exile a card from a graveyard.
Whenever you play a land or cast a spell, if it shares a card type with the exiled card, create a 1/1 white Human creature token.",Cemetery Protector,
,,Creature — Wolf,{1}{G}{G},,"Vigilance
Whenever Cemetery Prowler enters the battlefield or attacks, exile a card from a graveyard.
Spells you cast cost {1} less to cast for each card type they share with cards exiled with Cemetery Prowler.",Cemetery Prowler,
,,Enchantment,{2}{B},,"Hideaway 5 (When this enchantment enters the battlefield, look at the top five cards of your library, exile one face down, then put the rest on the bottom in a random order.)
At the beginning of your upkeep, you may mill three cards. Then if there are twenty or more cards in your graveyard, you may play the exiled card without paying its mana cost.",Cemetery Tampering,
,,Artifact Creature — Phyrexian Squid,{2}{W}{U},,"Flying
Cephalopod Sentry's power is equal to the number of artifacts you control.",Cephalopod Sentry,
,,Artifact — Equipment,{1}{G}{W},,"Equipped creature gets +2/+1 and has trample.
Equip Citizen {1}
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",Ceremonial Groundbreaker,
,,Artifact — Equipment,{1},,"Equipped creature gets +1/+0 and has ""Whenever this creature deals combat damage, create a Blood token."" (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",Ceremonial Knife,
,,Artifact Creature — Equipment Insect,{2}{B},,"Whenever Chainflail Centipede or equipped creature attacks, it gets +2/+0 until end of turn.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",Chainflail Centipede,
,,Creature — Zombie,{B},,"Whenever another Zombie enters the battlefield under your control, put a +1/+1 counter on Champion of the Perished.",Champion of the Perished,
,,Legendary Planeswalker — Chandra,{1}{R}{R},,"+1: Add {R}. Chandra, Dressed to Kill deals 1 damage to up to one target player or planeswalker.
+1: Exile the top card of your library. If it's red, you may cast it this turn.
-7: Exile the top five cards of your library. You may cast red spells from among them this turn. You get an emblem with ""Whenever you cast a red spell, this emblem deals X damage to any target, where X is the amount of mana spent to cast that spell.""","Chandra, Dressed to Kill",
,,Legendary Planeswalker — Chandra,{4}{R}{R},,"Whenever you cast an instant or sorcery spell, copy it. You may choose new targets for the copy. This ability triggers only once each turn.
+2: Add two mana in any combination of colors.
+1: Exile the top five cards of your library. Until the end of your next turn, you may cast an instant or sorcery spell from among those exiled cards.
-X: Chandra, Hope's Beacon deals X damage to each of up to two targets.","Chandra, Hope's Beacon",
,,Sorcery,{3}{R},,"Discard your hand, then draw a card for each card you've discarded this turn.",Change of Fortune,
,,Instant,{1}{U},,"Choose one —
• Counter target spell with mana value 2 or less.
• Counter target red or green spell with mana value 6 or less.",Change the Equation,
,,Sorcery,{5}{R},,"Exile up to one target artifact, up to one target creature, up to one target enchantment, up to one target planeswalker, and/or up to one target land. For each permanent exiled this way, its controller reveals cards from the top of their library until they reveal a card that shares a card type with it, puts that card onto the battlefield, then shuffles.",Chaotic Transformation,
,Chapel Shieldgeist,Creature — Human Cleric,{W},Creature — Spirit Cleric,"First strike
Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",Chaplain of Alms,"Flying, first strike
Each creature you control has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
If Chapel Shieldgeist would be put into a graveyard from anywhere, exile it instead."
,,Creature — Phyrexian Beast,{1}{B}{R},,"When Charforger enters the battlefield, create a 1/1 red Phyrexian Goblin creature token.
Whenever another creature or artifact you control is put into a graveyard from the battlefield, put an oil counter on Charforger.
Remove three oil counters from Charforger: Exile the top card of your library. You may play that card this turn.",Charforger,
,,Instant,{2}{W},,"Choose one —
• Charge of the Mites deals damage equal to the number of creatures you control to target creature or planeswalker.
• Create two 1/1 colorless Phyrexian Mite artifact creature tokens with toxic 1 and ""This creature can't block."" (Players dealt combat damage by them also get a poison counter.)",Charge of the Mites,
,,Creature — Dwarf Soldier,{2}{W},,{4}{W}: Creatures you control get +1/+1 until end of turn.,Charismatic Vanguard,
,Savage Packmate,Creature — Human Werewolf,{2}{R}{G},Creature — Werewolf,"{2}{R}{G}: Create a 2/2 green Wolf creature token.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Child of the Pack,"Trample
Other creatures you control get +1/+0.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
,,Instant,{2}{U},,"This spell costs {1} less to cast if you control a Zombie.
Tap target creature. It doesn't untap during its controller's next untap step.
Draw a card.",Chill of the Grave,
,,Creature — Phyrexian Goblin Warrior,{3}{R},,"Haste
When Chimney Rabble enters the battlefield, create a 1/1 red Phyrexian Goblin creature token.",Chimney Rabble,
,,Creature — Phyrexian Rat,{2}{B},,Corrupted — Sacrifice an artifact or creature: Draw a card. Activate only if an opponent has three or more poison counters and only once each turn.,Chittering Skitterling,
,,Sorcery,{1}{B}{B},,"Kicker {G} (You may pay an additional {G} as you cast this spell.)
If this spell was kicked, put a +1/+1 counter on a creature you control.
All creatures get -2/-2 until end of turn.",Choking Miasma,
,,Creature — Kavu,{3}{G},,"Backup 1 (When this creature enters the battlefield, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)
This creature can't be blocked by creatures with power 2 or less.",Chomping Kavu,
,,Artifact Creature — Cat,{3},,"When Chrome Cat enters the battlefield, scry 1.",Chrome Cat,
,,Creature — Phyrexian Shark,{2}{U},,"Flying
Whenever you cast a noncreature spell, incubate X, where X is that spell's mana value. (Create an Incubator token with X +1/+1 counters on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)",Chrome Host Seedshark,
,,Artifact Creature — Phyrexian Cat,{2}{U},,"Flash
When Chrome Prowler enters the battlefield, tap target creature an opponent controls.",Chrome Prowler,
,,Artifact,{R},,"At the beginning of your upkeep, put an oil counter on another target nontoken artifact or creature you control.
{2}, {T}: Create a 1/1 red Phyrexian Goblin creature token. Activate only if an oil counter was removed from a permanent you controlled this turn or a permanent with an oil counter on it was put into a graveyard this turn.",Churning Reservoir,
,,Creature — Phyrexian Warrior,{4}{R}{G},,"This spell costs {1} less to cast for each permanent you control with oil counters on it.
Vigilance
When Cinderslash Ravager enters the battlefield, it deals 1 damage to each creature your opponents control.",Cinderslash Ravager,
,,Enchantment,{1}{W},,"When Circle of Confinement enters the battlefield, exile target creature an opponent controls with mana value 3 or less until Circle of Confinement leaves the battlefield.
Whenever an opponent casts a Vampire spell with the same name as a card exiled with Circle of Confinement, you gain 2 life.",Circle of Confinement,
,,Artifact Creature — Insect,{3},,"When Circuit Mender enters the battlefield, you gain 2 life.
When Circuit Mender leaves the battlefield, draw a card.",Circuit Mender,
,,Creature — Elf Druid Soldier,{G},,"{T}, Tap an untapped artifact or creature you control: Add one mana of any color.",Citanul Stalwart,
,,Enchantment,{1}{W}{W},,"When Citizen's Arrest enters the battlefield, exile target creature or planeswalker an opponent controls until Citizen's Arrest leaves the battlefield.",Citizen's Arrest,
,,Artifact — Equipment,{1}{W},,"When Citizen's Crowbar enters the battlefield, create a 1/1 green and white Citizen creature token, then attach Citizen's Crowbar to it.
Equipped creature gets +1/+1 and has ""{W}, {T}, Sacrifice Citizen's Crowbar: Destroy target artifact or enchantment.""
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",Citizen's Crowbar,
,,Enchantment,{5}{R}{R}{R},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
If a source you control would deal damage to a permanent or player, it deals triple that damage instead.",City on Fire,
,,Artifact Creature — Construct,{8},,"Trample
When you cast this spell and whenever Cityscape Leveler attacks, destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token.
Unearth {8}",Cityscape Leveler,
,,Creature — Human Citizen,{1}{G},,"Whenever Civic Gardener attacks, untap target creature or land.",Civic Gardener,
,,Creature — Cat Citizen,{G}{W},,"Whenever Civil Servant attacks, you may tap another untapped Citizen you control. If you do, Civil Servant gets +1/+0 and gains lifelink until end of turn.",Civil Servant,
,,Creature — Human Knight,{3}{W},,"When Clarion Cathars enters the battlefield, create a 1/1 white Human creature token.",Clarion Cathars,
,,Enchantment — Aura,{B},,"Enchant artifact or creature
As long as enchanted permanent is a creature, it gets -1/-1 and can't block.
Enchanted permanent has ""At the beginning of your upkeep, you lose 1 life.""",Clawing Torment,
,,Artifact Creature — Construct,{X}{4},,"Clay Champion enters the battlefield with three +1/+1 counters on it for each {G}{G} spent to cast it.
When Clay Champion enters the battlefield, choose up to two other target creatures you control. For each {W}{W} spent to cast Clay Champion, put a +1/+1 counter on each of them.",Clay Champion,
,,Artifact Creature — Golem,{1},,"Clay Revenant enters the battlefield tapped.
{2}{B}: Return Clay Revenant from your graveyard to your hand.",Clay Revenant,
,,Creature — Human Citizen,{4}{G}{G},,"When Cleanup Crew enters the battlefield, choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Exile target card from a graveyard.
• You gain 4 life.",Cleanup Crew,
,,Instant,{2}{G},,Target creature you control gets +1/+1 until end of turn. It deals damage equal to its power to target creature you don't control.,Clear Shot,
,,Creature — Human Warrior,{2}{W},,"Flash
Kicker {2}{R} (You may pay an additional {2}{R} as you cast this spell.)
Flying
When Cleaving Skyrider enters the battlefield, if it was kicked, it deals X damage to any target, where X is the number of attacking creatures.",Cleaving Skyrider,
,,Creature — Human Ranger,{4}{G},,"Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)
Whenever one or more +1/+1 counters are put on one or more Humans you control, draw a card. This ability triggers only once each turn.",Cloaked Cadet,
,,Artifact Creature — Wall,{W},,"Defender
{2}{W}, {T}: Tap target creature.",Clockwork Drawbridge,
,,Artifact Creature — Equipment Kirin,{2}{W},,"Flying
Equipped creature has flying and ""You can't lose the game and your opponents can't win the game.""
Reconfigure {5} ({5}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",Cloudsteel Kirin,
,,Creature — Human Knight,{3}{W},,"Flying
Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)",Coalition Skyknight,
,,Creature — Minotaur Berserker,{3}{R},,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)
Trample",Coalition Warbrute,
,,Artifact Creature — Wall,{2},,"Defender
Coastal Bulwark gets +2/+0 as long as you control an Island.
{2}, {T}: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)",Coastal Bulwark,
,,Creature — Zombie Horse,{U},,"As an additional cost to cast this spell, exile a creature card from your graveyard.
{3}{U}, Exile Cobbled Lancer from your graveyard: Draw a card.",Cobbled Lancer,
,,Creature — Snake Ninja,{1}{G},,"Ninjutsu {1}{G} ({1}{G}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Coiling Stalker deals combat damage to a player, put a +1/+1 counter on target creature you control that doesn't have a +1/+1 counter on it.",Coiling Stalker,
,,Instant,{2}{B},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Target creature gets -3/-3 until end of turn.",Collective Nightmare,
,,Instant,{1}{G},,"Kicker {R} (You may pay an additional {R} as you cast this spell.)
Target creature gets +3/+3 until end of turn. If this spell was kicked, instead that creature gets +4/+4 and gains trample and haste until end of turn.",Colossal Growth,
,,Enchantment Creature — Turtle,{4}{G}{G}{U},,"Flying, ward {2}
Channel — {2}{G}, Discard Colossal Skyturtle: Return target card from your graveyard to your hand.
Channel — {1}{U}, Discard Colossal Skyturtle: Return target creature to its owner's hand.",Colossal Skyturtle,
,,Artifact Creature — Construct,{1},,"{2}, Sacrifice Combat Courier: Draw a card.
Unearth {U} ({U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",Combat Courier,
,,Enchantment — Aura,{U},,"Enchant creature
Enchanted creature has ""Whenever this creature deals combat damage to a player, draw a card.""
As long as enchanted creature is legendary, it gets +1/+1 and has ward {1}. (Whenever enchanted creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)",Combat Research,
,,Artifact Creature — Construct,{7},,"Prototype {2}{W} — 1/1 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
Double strike
When Combat Thresher enters the battlefield, draw a card.",Combat Thresher,
,,Instant,{R},,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.),Coming In Hot,
,,Sorcery,{G},,Look at the top four cards of your library. You may reveal an enchantment or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.,Commune with Spirits,
,,Instant,{1}{W},,"Target creature you control gets +2/+2 until end of turn. If that creature has toxic, draw a card.",Compleat Devotion,
,,Creature — Phyrexian Elf Warrior,{2}{B},,"{1}, {T}, Sacrifice another creature or artifact: Incubate 3. (Create an Incubator token with three +1/+1 counters on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)",Compleated Huntmaster,
,,Instant,{5}{U},,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
You may cast sorcery spells this turn as though they had flash.
When you next cast an instant or sorcery spell this turn, copy that spell twice. You may choose new targets for the copies.",Complete the Circuit,
,,Creature — Homunculus,{2}{U},,"If it's neither day nor night, it becomes day as Component Collector enters the battlefield.
Whenever day becomes night or night becomes day, you may tap or untap target nonland permanent.",Component Collector,
,Revealing Eye,Creature — Wall,{B},Creature — Eye Horror,"Defender
{2}{B}: Transform Concealing Curtains. Activate only as a sorcery.",Concealing Curtains,"Menace
When this creature transforms into Revealing Eye, target opponent reveals their hand. You may choose a nonland card from it. If you do, that player discards that card, then draws a card."
,,Artifact,{2}{G}{G},,"You may play lands from your graveyard.
{T}: Choose target nonland permanent card in your graveyard. If you haven't cast a spell this turn, you may cast that card. If you do, you can't cast additional spells this turn. Activate only as a sorcery.",Conduit of Worlds,
,,Creature — Human Soldier,{2}{R},,"When Conscripted Infantry dies, create a 1/1 colorless Soldier artifact creature token.",Conscripted Infantry,
,,Instant,{U},,"Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)
Draw a card.",Consider,
,,Creature — Aetherborn Vampire,{3}{B},,"Backup 1 (When this creature enters the battlefield, put a +1/+1 counter on target creature. If that's another creature, it gains the following ability until end of turn.)
Lifelink",Consuming Aetherborn,
,,Creature — Ooze,{3}{G}{G},,"Consuming Blob's power is equal to the number of card types among cards in your graveyard and its toughness is equal to that number plus 1.
At the beginning of your end step, create a green Ooze creature token with ""This creature's power is equal to the number of card types among cards in your graveyard and its toughness is equal to that number plus 1.""",Consuming Blob,
,,Sorcery,{2}{U}{U},,Each player chooses a nonland permanent they control. Return all nonland permanents not chosen this way to their owners' hands. Then you draw a card for each opponent who has more cards in their hand than you.,Consuming Tide,
,,Creature — Phyrexian Boar Beast,{2}{G},,"When Contagious Vorrac enters the battlefield, look at the top four cards of your library. You may reveal a land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Contagious Vorrac,
,,Artifact Creature — Construct,{2},,"Whenever you discard a card, you may exile that card from your graveyard. If you do, you may play that card this turn.",Containment Construct,
,,Land — Island Swamp,,,"({T}: Add {U} or {B}.)
Contaminated Aquifer enters the battlefield tapped.",Contaminated Aquifer,
,,Creature — Human,{X}{G},,"Contortionist Troupe enters the battlefield with X +1/+1 counters on it.
Coven — At the beginning of your end step, if you control three or more creatures with different powers, put a +1/+1 counter on target creature you control.",Contortionist Troupe,
,,Creature — Phyrexian Beast,{3}{G},,"When Converter Beast enters the battlefield, incubate 5. (Create an Incubator token with five +1/+1 counters on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)",Converter Beast,
,,Creature — Human Soldier,{1}{W},,"Each other Human you control gets +1/+0 and has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)",Coppercoat Vanguard,
,,Creature — Phyrexian Bear Rhino,{6}{G}{G},,"Trample
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",Copper Host Crusher,
,,Land,,,"Copperline Gorge enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {R} or {G}.",Copperline Gorge,
,,Creature — Phyrexian Spider,{1}{G},,"Reach
{1}{G}, Sacrifice Copper Longlegs: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Copper Longlegs,
,,Creature — Wall,{1}{U},,"Defender
{1}{U}, {T}: Target player mills X cards, where X is the number of creatures you control with defender. (To mill a card, a player puts the top card of their library into their graveyard.)",Coral Colony,
,,Legendary Creature — Vampire Rogue,{1}{U}{B}{R},,"Haste
{1}, {T}: Add {U}{B}{R}. Spend this mana only to cast instant and/or sorcery spells.
When Cormela, Glamour Thief dies, return up to one target instant or sorcery card from your graveyard to your hand.","Cormela, Glamour Thief",
,,Creature — Vampire Rogue,{U}{B}{R},,"When Corpse Appraiser enters the battlefield, exile up to one target creature card from a graveyard. If a card is put into exile this way, look at the top three cards of your library, then put one of those cards into your hand and the rest into your graveyard.",Corpse Appraiser,
,,Instant,{U}{B},,"As an additional cost to cast this spell, sacrifice any number of creatures.
Create an X/X blue and black Zombie creature token with menace, where X is the total power of the sacrificed creatures.
Flashback {3}{U}{B} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",Corpse Cobble,
,,Sorcery,{1}{B}{R},,"As an additional cost to cast this spell, exile a creature card from your graveyard.
Corpse Explosion deals damage equal to the exiled card's power to each creature and each planeswalker.",Corpse Explosion,
,,Sorcery,{5}{B},,Corrupt deals damage to any target equal to the number of Swamps you control. You gain life equal to the damage dealt this way.,Corrupt,
,,Creature — Human Advisor,{1}{B},,"When Corrupt Court Official enters the battlefield, target opponent discards a card.",Corrupt Court Official,
,,Instant,{B},,"As an additional cost to cast this spell, sacrifice a creature.
Draw two cards.",Corrupted Conviction,
,,Enchantment,{4}{U},,"When Corruption of Towashi enters the battlefield, incubate 4. (Create an Incubator token with four +1/+1 counters on it and ""{2}: Transform this artifact."" It transforms into a 0/0 Phyrexian artifact creature.)
Whenever a permanent you control transforms or a permanent enters the battlefield under your control transformed, you may draw a card. Do this only once each turn.",Corruption of Towashi,
