type_line0,name0,name1,oracle_text0,power1,oracle_text1,toughness0,power0,mana_cost0,type_line1,toughness1,mana_cost1
Sorcery,Farseek,,"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.",,,,,{1}{G},,,
Instant,Fatal Push,,"Destroy target creature if it has mana value 2 or less.
Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent you controlled left the battlefield this turn.",,,,,{B},,,
Creature — Cat Beast,Felidar Guardian,,"When Felidar Guardian enters the battlefield, you may exile another target permanent you control, then return that card to the battlefield under its owner's control.",,,4,1,{3}{W},,,
Enchantment — Aura,Fertile Ground,,"Enchant land
Whenever enchanted land is tapped for mana, its controller adds an additional one mana of any color.",,,,,{1}{G},,,
Land,Field of Ruin,,"{T}: Add {C}.
{2}, {T}, Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card, puts it onto the battlefield, then shuffles.",,,,,,,,
Sorcery,Fight with Fire,,"Kicker {5}{R} (You may pay an additional {5}{R} as you cast this spell.)
Fight with Fire deals 5 damage to target creature. If this spell was kicked, it deals 10 damage divided as you choose among any number of targets instead. (Those targets can include players and planeswalkers.)",,,,,{2}{R},,,
Creature — Kithkin,Figure of Destiny,,"{R/W}: Figure of Destiny becomes a Kithkin Spirit with base power and toughness 2/2.
{R/W}{R/W}{R/W}: If Figure of Destiny is a Spirit, it becomes a Kithkin Spirit Warrior with base power and toughness 4/4.
{R/W}{R/W}{R/W}{R/W}{R/W}{R/W}: If Figure of Destiny is a Warrior, it becomes a Kithkin Spirit Warrior Avatar with base power and toughness 8/8, flying, and first strike.",,,1,1,{R/W},,,
Sorcery,Finale of Eternity,,"Destroy up to three target creatures with toughness X or less. If X is 10 or more, return all creature cards from your graveyard to the battlefield.",,,,,{X}{B}{B},,,
Sorcery,Finale of Promise,,"You may cast up to one target instant card and/or up to one target sorcery card from your graveyard each with mana value X or less without paying their mana costs. If a spell cast this way would be put into your graveyard, exile it instead. If X is 10 or more, copy each of those spells twice. You may choose new targets for the copies.",,,,,{X}{R}{R},,,
Sorcery,Find,Finality,Return up to two target creature cards from your graveyard to your hand.,,You may put two +1/+1 counters on a creature you control. Then all creatures get -4/-4 until end of turn.,,,{B/G}{B/G},Sorcery,,{4}{B}{G}
Creature — Satyr Shaman,Firedrinker Satyr,,"Whenever Firedrinker Satyr is dealt damage, it deals that much damage to you.
{1}{R}: Firedrinker Satyr gets +1/+0 until end of turn and deals 1 damage to you.",,,1,2,{R},,,
Sorcery,Flame Slash,,Flame Slash deals 4 damage to target creature.,,,,,{R},,,
Creature — Phoenix,Flamewake Phoenix,,"Flying, haste
Flamewake Phoenix attacks each combat if able.
Ferocious — At the beginning of combat on your turn, if you control a creature with power 4 or greater, you may pay {R}. If you do, return Flamewake Phoenix from your graveyard to the battlefield.",,,2,2,{1}{R}{R},,,
Creature — Elemental,Flickerwisp,,"Flying
When Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.",,,1,3,{1}{W}{W},,,
Land,Flooded Strand,,"{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.",,,,,,,,
Instant,Force of Negation,,"If it's not your turn, you may exile a blue card from your hand rather than pay this spell's mana cost.
Counter target noncreature spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",,,,,{1}{U}{U},,,
Instant,Forsake the Worldly,,"Exile target artifact or enchantment.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,,,{2}{W},,,
Creature — Giant,Frost Titan,,"Whenever Frost Titan becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {2}.
Whenever Frost Titan enters the battlefield or attacks, tap target permanent. It doesn't untap during its controller's next untap step.",,,6,6,{4}{U}{U},,,
Sorcery,Fumigate,,Destroy all creatures. You gain 1 life for each creature destroyed this way.,,,,,{3}{W}{W},,,
Legendary Planeswalker — Garruk,"Garruk, Apex Predator",,"+1: Destroy another target planeswalker.
+1: Create a 3/3 black Beast creature token with deathtouch.
-3: Destroy target creature. You gain life equal to its toughness.
-8: Target opponent gets an emblem with ""Whenever a creature attacks you, it gets +5/+5 and gains trample until end of turn.""",,,,,{5}{B}{G},,,
Legendary Planeswalker — Garruk,"Garruk, Primal Hunter",,"+1: Create a 3/3 green Beast creature token.
-3: Draw cards equal to the greatest power among creatures you control.
-6: Create a 6/6 green Wurm creature token for each land you control.",,,,,{2}{G}{G}{G},,,
Legendary Planeswalker — Garruk,Garruk Relentless,"Garruk, the Veil-Cursed","When Garruk Relentless has two or fewer loyalty counters on him, transform him.
0: Garruk Relentless deals 3 damage to target creature. That creature deals damage equal to its power to him.
0: Create a 2/2 green Wolf creature token.",,"+1: Create a 1/1 black Wolf creature token with deathtouch.
-1: Sacrifice a creature. If you do, search your library for a creature card, reveal it, put it into your hand, then shuffle.
-3: Creatures you control gain trample and get +X/+X until end of turn, where X is the number of creature cards in your graveyard.",,,{3}{G},Legendary Planeswalker — Garruk,,
Legendary Planeswalker — Garruk,Garruk Wildspeaker,,"+1: Untap two target lands.
-1: Create a 3/3 green Beast creature token.
-4: Creatures you control get +3/+3 and gain trample until end of turn.",,,,,{2}{G}{G},,,
Land,Gavony Township,,"{T}: Add {C}.
{2}{G}{W}, {T}: Put a +1/+1 counter on each creature you control.",,,,,,,,
Legendary Creature — Spirit Cleric,Geist of Saint Traft,,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Whenever Geist of Saint Traft attacks, create a 4/4 white Angel creature token with flying that's tapped and attacking. Exile that token at end of combat.",,,2,2,{1}{W}{U},,,
Creature — Plant Hydra,Genesis Hydra,,"When you cast this spell, reveal the top X cards of your library. You may put a nonland permanent card with mana value X or less from among them onto the battlefield. Then shuffle the rest into your library.
Genesis Hydra enters the battlefield with X +1/+1 counters on it.",,,0,0,{X}{G}{G},,,
Sorcery,Genesis Wave,,Reveal the top X cards of your library. You may put any number of permanent cards with mana value X or less from among them onto the battlefield. Then put all cards revealed this way that weren't put onto the battlefield into your graveyard.,,,,,{X}{G}{G}{G},,,
Creature — Zombie,Geralf's Messenger,,"Geralf's Messenger enters the battlefield tapped.
When Geralf's Messenger enters the battlefield, target opponent loses 2 life.
Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",,,2,3,{B}{B}{B},,,
Legendary Planeswalker — Gideon,"Gideon, Ally of Zendikar",,"+1: Until end of turn, Gideon, Ally of Zendikar becomes a 5/5 Human Soldier Ally creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.
0: Create a 2/2 white Knight Ally creature token.
-4: You get an emblem with ""Creatures you control get +1/+1.""",,,,,{2}{W}{W},,,
Legendary Planeswalker — Gideon,Gideon Jura,,"+2: During target opponent's next turn, creatures that player controls attack Gideon Jura if able.
-2: Destroy target tapped creature.
0: Until end of turn, Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn.",,,,,{3}{W}{W},,,
Creature — Aetherborn Vampire,Gifted Aetherborn,,"Deathtouch, lifelink",,,3,2,{B}{B},,,
Instant,Gifts Ungiven,,Search your library for up to four cards with different names and reveal them. Target opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest into your hand. Then shuffle.,,,,,{3}{U},,,
Artifact,Gilded Lotus,,{T}: Add three mana of any one color.,,,,,{5},,,
Creature — Kor Cleric,Giver of Runes,,{T}: Another target creature you control gains protection from colorless or from the color of your choice until end of turn.,,,2,1,{W},,,
Land,Glacial Fortress,,"Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island.
{T}: Add {W} or {U}.",,,,,,,,
Creature — Faerie Wizard,Glen Elendra Archmage,,"Flying
{U}, Sacrifice Glen Elendra Archmage: Counter target noncreature spell.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",,,2,2,{3}{U},,,
Creature — Human Rogue,Glint-Sleeve Siphoner,,"Menace
Whenever Glint-Sleeve Siphoner enters the battlefield or attacks, you get {E} (an energy counter).
At the beginning of your upkeep, you may pay {E}{E}. If you do, you draw a card and you lose 1 life.",,,1,2,{1}{B},,,
Enchantment,Glorious Anthem,,Creatures you control get +1/+1.,,,,,{1}{W}{W},,,
Creature — Human Warrior,Glory-Bound Initiate,,"You may exert Glory-Bound Initiate as it attacks. When you do, it gets +1/+3 and gains lifelink until end of turn. (An exerted creature won't untap during your next untap step.)",,,1,3,{1}{W},,,
Creature — Dragon,Glorybringer,,"Flying, haste
You may exert Glorybringer as it attacks. When you do, it deals 4 damage to target non-Dragon creature an opponent controls. (An exerted creature won't untap during your next untap step.)",,,4,4,{3}{R}{R},,,
Creature — Goblin Warrior,Goblin Chainwhirler,,"First strike
When Goblin Chainwhirler enters the battlefield, it deals 1 damage to each opponent and each creature and planeswalker they control.",,,3,3,{R}{R}{R},,,
Creature — Goblin Warrior,Goblin Cratermaker,,"{1}, Sacrifice Goblin Cratermaker: Choose one —
• Goblin Cratermaker deals 2 damage to target creature.
• Destroy target colorless nonland permanent.",,,2,2,{1}{R},,,
Creature — Goblin Scout,Goblin Guide,,"Haste
Whenever Goblin Guide attacks, defending player reveals the top card of their library. If it's a land card, that player puts it into their hand.",,,2,2,{R},,,
Creature — Goblin Warrior,Goblin Rabblemaster,,"Other Goblin creatures you control attack each combat if able.
At the beginning of combat on your turn, create a 1/1 red Goblin creature token with haste.
Whenever Goblin Rabblemaster attacks, it gets +1/+0 until end of turn for each other attacking Goblin.",,,2,2,{2}{R},,,
Land — Plains Swamp,Godless Shrine,,"({T}: Add {W} or {B}.)
As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Instant,Go for the Throat,,Destroy target nonartifact creature.,,,,,{1}{B},,,
Artifact,Golgari Signet,,"{1}, {T}: Add {B}{G}.",,,,,{2},,,
Legendary Artifact Creature — Scout,"Golos, Tireless Pilgrim",,"When Golos, Tireless Pilgrim enters the battlefield, you may search your library for a land card, put that card onto the battlefield tapped, then shuffle.
{2}{W}{U}{B}{R}{G}: Exile the top three cards of your library. You may play them this turn without paying their mana costs.",,,5,3,{5},,,
Legendary Creature — Aetherborn Rogue,"Gonti, Lord of Luxury",,"Deathtouch
When Gonti, Lord of Luxury enters the battlefield, look at the top four cards of target opponent's library, exile one of them face down, then put the rest on the bottom of that library in a random order. You may look at and cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell.",,,3,2,{2}{B}{B},,,
Creature — Zombie Spirit,Graveborn Muse,,"At the beginning of your upkeep, you draw X cards and you lose X life, where X is the number of Zombies you control.",,,3,3,{2}{B}{B},,,
Creature — Zombie,Gravecrawler,,"Gravecrawler can't block.
You may cast Gravecrawler from your graveyard as long as you control a Zombie.",,,1,2,{B},,,
Creature — Giant,Grave Titan,,"Deathtouch
Whenever Grave Titan enters the battlefield or attacks, create two 2/2 black Zombie creature tokens.",,,6,6,{4}{B}{B},,,
Creature — Zombie Soldier,Graveyard Marshal,,"{2}{B}, Exile a creature card from your graveyard: Create a tapped 2/2 black Zombie creature token.",,,2,3,{B}{B},,,
Creature — Zombie,Gray Merchant of Asphodel,,"When Gray Merchant of Asphodel enters the battlefield, each opponent loses X life, where X is your devotion to black. You gain life equal to the life lost this way. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",,,4,2,{3}{B}{B},,,
Creature — Human Wizard,Grim Lavamancer,,"{R}, {T}, Exile two cards from your graveyard: Grim Lavamancer deals 2 damage to any target.",,,1,1,{R},,,
Legendary Creature — Demon,Griselbrand,,"Flying, lifelink
Pay 7 life: Draw seven cards.",,,7,7,{4}{B}{B}{B}{B},,,
Artifact,Gruul Signet,,"{1}, {T}: Add {R}{G}.",,,,,{2},,,
Instant,Gut Shot,,"({R/P} can be paid with either {R} or 2 life.)
Gut Shot deals 1 damage to any target.",,,,,{R/P},,,
Land — Plains Island,Hallowed Fountain,,"({T}: Add {W} or {U}.)
As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Artifact Creature — Construct,Hangarback Walker,,"Hangarback Walker enters the battlefield with X +1/+1 counters on it.
When Hangarback Walker dies, create a 1/1 colorless Thopter artifact creature token with flying for each +1/+1 counter on Hangarback Walker.
{1}, {T}: Put a +1/+1 counter on Hangarback Walker.",,,0,0,{X}{X},,,
Creature — Merfolk Wizard,Harbinger of the Tides,,"You may cast Harbinger of the Tides as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.)
When Harbinger of the Tides enters the battlefield, you may return target tapped creature an opponent controls to its owner's hand.",,,2,2,{U}{U},,,
Sorcery,Harmonize,,Draw three cards.,,,,,{2}{G}{G},,,
Legendary Creature — God,Hazoret the Fervent,,"Indestructible, haste
Hazoret the Fervent can't attack or block unless you have one or fewer cards in hand.
{2}{R}, Discard a card: Hazoret deals 2 damage to each opponent.",,,4,5,{3}{R},,,
Artifact,Hedron Archive,,"{T}: Add {C}{C}.
{2}, {T}, Sacrifice Hedron Archive: Draw two cards.",,,,,{4},,,
Creature — Human Knight,Hero of Bladehold,,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
Whenever Hero of Bladehold attacks, create two 1/1 white Soldier creature tokens that are tapped and attacking.",,,4,3,{2}{W}{W},,,
Creature — Human Knight,Hero of Oxid Ridge,,"Haste
Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
Whenever Hero of Oxid Ridge attacks, creatures with power 1 or less can't block this turn.",,,2,4,{2}{R}{R},,,
Instant,Hero's Downfall,,Destroy target creature or planeswalker.,,,,,{1}{B}{B},,,
Creature — Human Warrior,Hidden Dragonslayer,,"Lifelink
Megamorph {2}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Hidden Dragonslayer is turned face up, destroy target creature with power 4 or greater an opponent controls.",,,1,2,{1}{W},,,
Land,Hinterland Harbor,,"Hinterland Harbor enters the battlefield tapped unless you control a Forest or an Island.
{T}: Add {G} or {U}.",,,,,,,,
Land,Hissing Quagmire,,"Hissing Quagmire enters the battlefield tapped.
{T}: Add {B} or {G}.
{1}{B}{G}: Hissing Quagmire becomes a 2/2 black and green Elemental creature with deathtouch until end of turn. It's still a land.",,,,,,,,
Enchantment — Saga,History of Benalia,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Create a 2/2 white Knight creature token with vigilance.
III — Knights you control get +2/+1 until end of turn.",,,,,{1}{W}{W},,,
Enchantment,Honor of the Pure,,White creatures you control get +1/+1.,,,,,{1}{W},,,
Creature — Insect,Hornet Queen,,"Flying
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
When Hornet Queen enters the battlefield, create four 1/1 green Insect creature tokens with flying and deathtouch.",,,2,2,{4}{G}{G}{G},,,
Creature — Human Pirate,Hostage Taker,,"When Hostage Taker enters the battlefield, exile another target creature or artifact until Hostage Taker leaves the battlefield. You may cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any type to cast that spell.",,,3,2,{2}{U}{B},,,
Sorcery,Hour of Devastation,,All creatures lose indestructible until end of turn. Hour of Devastation deals 5 damage to each creature and each non-Bolas planeswalker.,,,,,{3}{R}{R},,,
Creature — Human Werewolf,Huntmaster of the Fells,Ravager of the Fells,"Whenever this creature enters the battlefield or transforms into Huntmaster of the Fells, create a 2/2 green Wolf creature token and you gain 2 life.
At the beginning of each upkeep, if no spells were cast last turn, transform Huntmaster of the Fells.",4,"Trample
Whenever this creature transforms into Ravager of the Fells, it deals 2 damage to target opponent or planeswalker and 2 damage to up to one target creature that player or that planeswalker's controller controls.
At the beginning of each upkeep, if a player cast two or more spells last turn, transform Ravager of the Fells.",2,2,{2}{R}{G},Creature — Werewolf,4,
Creature — Jellyfish Hydra Beast,Hydroid Krasis,,"When you cast this spell, you gain half X life and draw half X cards. Round down each time.
Flying, trample
Hydroid Krasis enters the battlefield with X +1/+1 counters on it.",,,0,0,{X}{G}{U},,,
Creature — Specter,Hypnotic Specter,,"Flying
Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.",,,2,2,{1}{B}{B},,,
Creature — Dragon,Icefall Regent,,"Flying
When Icefall Regent enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's untap step for as long as you control Icefall Regent.
Spells your opponents cast that target Icefall Regent cost {2} more to cast.",,,3,4,{3}{U}{U},,,
Instant,Incinerate,,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.,,,,,{1}{R},,,
Creature — Giant,Inferno Titan,,"{R}: Inferno Titan gets +1/+0 until end of turn.
Whenever Inferno Titan enters the battlefield or attacks, it deals 3 damage divided as you choose among one, two, or three targets.",,,6,6,{4}{R}{R},,,
Creature — Elemental,Ingot Chewer,,"When Ingot Chewer enters the battlefield, destroy target artifact.
Evoke {R} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",,,3,3,{4}{R},,,
Sorcery,Inquisition of Kozilek,,Target player reveals their hand. You choose a nonland card from it with mana value 3 or less. That player discards that card.,,,,,{B},,,
Land,Inspiring Vantage,,"Inspiring Vantage enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {R} or {W}.",,,,,,,,
Creature — Orc Shaman,Ire Shaman,,"Menace (This creature can't be blocked except by two or more creatures.)
Megamorph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Ire Shaman is turned face up, exile the top card of your library. Until end of turn, you may play that card.",,,1,2,{1}{R},,,
Legendary Creature — Dog,"Isamaru, Hound of Konda",,,,,2,2,{W},,,
Legendary Creature — Human Wizard,Isareth the Awakener,,"Deathtouch
Whenever Isareth the Awakener attacks, you may pay {X}. When you do, return target creature card with mana value X from your graveyard to the battlefield with a corpse counter on it. If that creature would leave the battlefield, exile it instead of putting it anywhere else.",,,3,3,{1}{B}{B},,,
Land,Isolated Chapel,,"Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.
{T}: Add {W} or {B}.",,,,,,,,
Instant,Izzet Charm,,"Choose one —
• Counter target noncreature spell unless its controller pays {2}.
• Izzet Charm deals 2 damage to target creature.
• Draw two cards, then discard two cards.",,,,,{U}{R},,,
Artifact,Izzet Signet,,"{1}, {T}: Add {U}{R}.",,,,,{2},,,
Legendary Planeswalker — Jace,Jace Beleren,,"+2: Each player draws a card.
-1: Target player draws a card.
-10: Target player mills twenty cards.",,,,,{1}{U}{U},,,
Legendary Planeswalker — Jace,"Jace, the Mind Sculptor",,"+2: Look at the top card of target player's library. You may put that card on the bottom of that player's library.
0: Draw three cards, then put two cards from your hand on top of your library in any order.
-1: Return target creature to its owner's hand.
-12: Exile all cards from target player's library, then that player shuffles their hand into their library.",,,,,{2}{U}{U},,,
Legendary Creature — Human Wizard,"Jace, Vryn's Prodigy","Jace, Telepath Unbound","{T}: Draw a card, then discard a card. If there are five or more cards in your graveyard, exile Jace, Vryn's Prodigy, then return him to the battlefield transformed under his owner's control.",,"+1: Up to one target creature gets -2/-0 until your next turn.
-3: You may cast target instant or sorcery card from your graveyard this turn. If that spell would be put into your graveyard, exile it instead.
-9: You get an emblem with ""Whenever you cast a spell, target opponent mills five cards.""",2,0,{1}{U},Legendary Planeswalker — Jace,,
Creature — Merfolk Scout Ranger,Jadelight Ranger,,"When Jadelight Ranger enters the battlefield, it explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard. Then repeat this process.)",,,1,2,{1}{G}{G},,,
Creature — Elf Druid,Joraga Treespeaker,,"Level up {1}{G} ({1}{G}: Put a level counter on this. Level up only as a sorcery.)
LEVEL 1-4
1/2
{T}: Add {G}{G}.
LEVEL 5+
1/4
Elves you control have ""{T}: Add {G}{G}.""",,,1,1,{G},,,
Enchantment,Journey to Nowhere,,"When Journey to Nowhere enters the battlefield, exile target creature.
When Journey to Nowhere leaves the battlefield, return the exiled card to the battlefield under its owner's control.",,,,,{1}{W},,,
Legendary Creature — Vampire Warrior,"Kalitas, Traitor of Ghet",,"Lifelink
If a nontoken creature an opponent controls would die, instead exile that card and create a 2/2 black Zombie creature token.
{2}{B}, Sacrifice another Vampire or Zombie: Put two +1/+1 counters on Kalitas, Traitor of Ghet.",,,4,3,{2}{B}{B},,,
Legendary Creature — Human Pirate,"Kari Zev, Skyship Raider",,"First strike, menace
Whenever Kari Zev, Skyship Raider attacks, create Ragavan, a legendary 2/1 red Monkey creature token. Ragavan enters the battlefield tapped and attacking. Exile that token at end of combat.",,,3,1,{1}{R},,,
Legendary Planeswalker — Karn,Karn Liberated,,"+4: Target player exiles a card from their hand.
-3: Exile target permanent.
-14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.",,,,,{7},,,
Legendary Planeswalker — Karn,"Karn, Scion of Urza",,"+1: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it.
-1: Put a card you own with a silver counter on it from exile into your hand.
-2: Create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control.""",,,,,{4},,,
Instant,Kaya's Guile,,"Choose two —
• Each opponent sacrifices a creature.
• Exile all opponents' graveyards.
• Create a 1/1 white and black Spirit creature token with flying.
• You gain 4 life.
Entwine {3} (Choose all if you pay the entwine cost.)",,,,,{1}{W}{B},,,
Legendary Enchantment Creature — God,"Keranos, God of Storms",,"Indestructible
As long as your devotion to blue and red is less than seven, Keranos isn't a creature.
Reveal the first card you draw on each of your turns. Whenever you reveal a land card this way, draw a card. Whenever you reveal a nonland card this way, Keranos deals 3 damage to any target.",,,5,6,{3}{U}{R},,,
Land,Kessig Wolf Run,,"{T}: Add {C}.
{X}{R}{G}, {T}: Target creature gets +X/+0 and gains trample until end of turn.",,,,,,,,
Legendary Creature — Goblin Shaman,"Kiki-Jiki, Mirror Breaker",,"Haste
{T}: Create a token that's a copy of target nonlegendary creature you control, except it has haste. Sacrifice it at the beginning of the next end step.",,,2,2,{2}{R}{R}{R},,,
Legendary Creature — Spirit,"Kira, Great Glass-Spinner",,"Flying
Creatures you control have ""Whenever this creature becomes the target of a spell or ability for the first time each turn, counter that spell or ability.""",,,2,2,{1}{U}{U},,,
Creature — Ouphe,Kitchen Finks,,"When Kitchen Finks enters the battlefield, you gain 2 life.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",,,2,3,{1}{G/W}{G/W},,,
Creature — Human Pirate,Kitesail Freebooter,,"Flying
When Kitesail Freebooter enters the battlefield, target opponent reveals their hand. You choose a noncreature, nonland card from it. Exile that card until Kitesail Freebooter leaves the battlefield.",,,2,1,{1}{B},,,
Creature — Dryad Knight,Knight of Autumn,,"When Knight of Autumn enters the battlefield, choose one —
• Put two +1/+1 counters on Knight of Autumn.
• Destroy target artifact or enchantment.
• You gain 4 life.",,,1,2,{1}{G}{W},,,
Creature — Human Knight,Knight of the Reliquary,,"Knight of the Reliquary gets +1/+1 for each land card in your graveyard.
{T}, Sacrifice a Forest or Plains: Search your library for a land card, put it onto the battlefield, then shuffle.",,,2,2,{1}{G}{W},,,
Sorcery — Arcane,Kodama's Reach,,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",,,,,{2}{G},,,
Instant,Kolaghan's Command,,"Choose two —
• Return target creature card from your graveyard to your hand.
• Target player discards a card.
• Destroy target artifact.
• Kolaghan's Command deals 2 damage to any target.",,,,,{1}{B}{R},,,
Legendary Planeswalker — Koth,Koth of the Hammer,,"+1: Untap target Mountain. It becomes a 4/4 red Elemental creature until end of turn. It's still a land.
-2: Add {R} for each Mountain you control.
-5: You get an emblem with ""Mountains you control have '{T}: This land deals 1 damage to any target.'""",,,,,{2}{R}{R},,,
Legendary Creature — Human Soldier,"Kytheon, Hero of Akros","Gideon, Battle-Forged","At end of combat, if Kytheon, Hero of Akros and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control.
{2}{W}: Kytheon gains indestructible until end of turn.",,"+2: Up to one target creature an opponent controls attacks Gideon, Battle-Forged during its controller's next turn if able.
+1: Until your next turn, target creature gains indestructible. Untap that creature.
0: Until end of turn, Gideon, Battle-Forged becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.",1,2,{W},Legendary Planeswalker — Gideon,,
Sorcery,Languish,,All creatures get -4/-4 until end of turn.,,,,,{2}{B}{B},,,
Land,Lavaclaw Reaches,,"Lavaclaw Reaches enters the battlefield tapped.
{T}: Add {B} or {R}.
{1}{B}{R}: Until end of turn, Lavaclaw Reaches becomes a 2/2 black and red Elemental creature with ""{X}: This creature gets +X/+0 until end of turn."" It's still a land.",,,,,,,,
Sorcery,Lava Coil,,"Lava Coil deals 4 damage to target creature. If that creature would die this turn, exile it instead.",,,,,{1}{R},,,
Legendary Enchantment,Legion's Landing,"Adanto, the First Fort","When Legion's Landing enters the battlefield, create a 1/1 white Vampire creature token with lifelink.
When you attack with three or more creatures, transform Legion's Landing.",,"(Transforms from Legion's Landing.)
{T}: Add {W}.
{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink.",,,{W},Legendary Land,,
Creature — Goblin Soldier,Legion Warboss,,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)
At the beginning of combat on your turn, create a 1/1 red Goblin creature token. That token gains haste until end of turn and attacks this combat if able.",,,2,2,{2}{R},,,
Creature — Zombie Warrior,Lifebane Zombie,,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
When Lifebane Zombie enters the battlefield, target opponent reveals their hand. You choose a green or white creature card from it and exile that card.",,,1,3,{1}{B}{B},,,
Instant,Lightning Bolt,,Lightning Bolt deals 3 damage to any target.,,,,,{R},,,
Instant,Lightning Helix,,Lightning Helix deals 3 damage to any target and you gain 3 life.,,,,,{R}{W},,,
Instant,Lightning Strike,,Lightning Strike deals 3 damage to any target.,,,,,{1}{R},,,
Legendary Planeswalker — Liliana,"Liliana, Dreadhorde General",,"Whenever a creature you control dies, draw a card.
+1: Create a 2/2 black Zombie creature token.
-4: Each player sacrifices two creatures.
-9: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest.",,,,,{4}{B}{B},,,
Legendary Creature — Human Cleric,"Liliana, Heretical Healer","Liliana, Defiant Necromancer","Lifelink
Whenever another nontoken creature you control dies, exile Liliana, Heretical Healer, then return her to the battlefield transformed under her owner's control. If you do, create a 2/2 black Zombie creature token.",,"+2: Each player discards a card.
-X: Return target nonlegendary creature card with mana value X from your graveyard to the battlefield.
-8: You get an emblem with ""Whenever a creature dies, return it to the battlefield under your control at the beginning of the next end step.""",3,2,{1}{B}{B},Legendary Planeswalker — Liliana,,
Legendary Planeswalker — Liliana,Liliana of the Veil,,"+1: Each player discards a card.
-2: Target player sacrifices a creature.
-6: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.",,,,,{1}{B}{B},,,
Enchantment,Liliana's Mastery,,"Zombies you control get +1/+1.
When Liliana's Mastery enters the battlefield, create two 2/2 black Zombie creature tokens.",,,,,{3}{B}{B},,,
Legendary Planeswalker — Liliana,"Liliana, the Last Hope",,"+1: Up to one target creature gets -2/-1 until your next turn.
-2: Mill two cards, then you may return a creature card from your graveyard to your hand.
-7: You get an emblem with ""At the beginning of your end step, create X 2/2 black Zombie creature tokens, where X is two plus the number of Zombies you control.""",,,,,{1}{B}{B},,,
